rat | Rat | cheese:0.4, bones:0.2
frazzlemaw | Frazzlemaw | demon_dust:0.3, crystal_coin:0.3
silencer | Silencer | gold_coin:0.3
guzzlemaw | Guzzlemaw | demon_dust:0.35, platinum_coin:0.6, crystal_coin:0.35
warlock | Warlock | skull_staff:0.03, demon_dust:0.3, crystal_coin:0.03, boots_of_haste:0.004
usurper_archer | Usurper Archer | meat:0.3, ultimate_health_potion:0.3, broken_longbow:0.15, black_pearl:0.15, silver_brooch:0.15, mino_shield:0.15, warrior_helmet:0.15, lion_crest:0.15, lion_cloak_patch:0.15, knife:0.15, assassin_dagger:0.05, white_pearl:0.05, ornate_crossbow:0.05, knight_armor:0.05, gemmed_figurine:0.05, coral_brooch:0.05, glacier_shoes:0.05, giant_shimmering_pearl_green:0.05, wood_cape:0.05, emerald_bangle:0.015, elvish_bow:0.005
usurper_knight | Usurper Knight | leather_legs:0.3, knight_legs:0.15, violet_gem:0.15, lion_cloak_patch:0.15, meat:0.15, lion_crest:0.15, great_mana_potion:0.05, collar_of_orange_plasma:0.05, gold_ingot:0.05, blue_gem:0.05, green_gem:0.05, magma_legs:0.05
dragolisk | Dragolisk | platinum_coin:0.3
wardragon | Wardragon | platinum_coin:0.3
mega_dragon | Mega Dragon | platinum_coin:0.3
bulltaur_alchemist | Bulltaur Alchemist | platinum_coin:0.3
bulltaur_brute | Bulltaur Brute | platinum_coin:0.3
bulltaur_forgepriest | Bulltaur Forgepriest | platinum_coin:0.3, bulltaur_horn:0.35, small_topaz:0.15, staff_piece:0.1, soul_orb:0.1, gold_nugget:0.1, idol_of_the_forge:0.06, gold_ingot:0.02, spellbook_of_mind_control:0.02, lightning_robe:0.02, wand_of_defiance:0.02, bulltaur_forgepriest_soul_core:0.03, blue_gem:0.015, violet_gem:0.015, stone_skin_amulet:0.008, white_gem:0.01
ripper_spectre | Ripper Spectre | platinum_coin:0.3, great_spirit_potion:0.1, two_handed_sword:0.1, terra_rod:0.1, silver_brooch:0.1, emerald_bangle:0.06, twin_hooks:0.06, springsprout_rod:0.06, green_ectoplasm:0.06, coral_brooch:0.06, serpent_sword:0.025, hexagonal_ruby:0.025, assassin_dagger:0.025, spike_sword:0.008, wyvern_fang:0.008, stone_skin_amulet:0.008
burster_spectre | Burster Spectre | platinum_coin:0.3, great_spirit_potion:0.1, protection_amulet:0.1, life_crystal:0.1, wand_of_voodoo:0.06, wand_of_cosmic_energy:0.06, dragon_necklace:0.06, blue_ectoplasm:0.06, glacier_amulet:0.06, orb:0.06, platinum_amulet:0.06, hailstorm_rod:0.025, hexagonal_ruby:0.025, glacial_rod:0.025, mind_stone:0.008, elven_amulet:0.008, garlic_necklace:0.008, shockwave_amulet:0.008, strange_symbol:0.008, stone_skin_amulet:0.008
gazer_spectre | Gazer Spectre | platinum_coin:0.3, small_diamond:0.1, brown_crystal_splinter:0.1, small_sapphire:0.1, red_gem:0.1, red_crystal_fragment:0.1, small_enchanted_ruby:0.1, yellow_gem:0.06, golden_idol_of_tukh:0.06, wand_of_draconia:0.06, wand_of_inferno:0.06, red_ectoplasm:0.06, magma_coat:0.06, prismatic_quartz:0.06, small_enchanted_emerald:0.06, onyx_chip:0.06, hexagonal_ruby:0.025, stone_skin_amulet:0.008
gorger_inferniarch | Gorger Inferniarch | small_sapphire:0.05, club_ring:0.05, spiked_squelcher:0.05, demonic_core_essence:0.05, gorger_antlers:0.05, time_ring:0.015, demonic_matter:0.015, mummified_demon_finger:0.015, gold_nugget:0.005
broodrider_inferniarch | Broodrider Inferniarch | blue_crystal_splinter:0.15, power_bolt:0.05, drill_bolt:0.05, onyx_chip:0.05, demonic_core_essence:0.05, broodrider_saddle:0.05, magma_legs:0.015, demonic_matter:0.015, mummified_demon_finger:0.015, arbalest:0.005
sineater_inferniarch | Sineater Inferniarch | great_mana_potion:0.15, ruby_necklace:0.05, small_ruby:0.05, red_gem:0.05, wand_of_defiance:0.05, demonic_core_essence:0.05, sineater_wing:0.05, wooden_spellbook:0.015, demonic_matter:0.015, mummified_demon_finger:0.015
girtablilu_warrior | Girtablilu Warrior | platinum_coin:0.3
venerable_girtablilu | Venerable Girtablilu | platinum_coin:0.3
animated_feather | Animated Feather | small_sapphire:0.3
icecold_book | Icecold Book | platinum_coin:0.3
squid_warden | Squid Warden | platinum_coin:0.3
burning_book | Burning Book | platinum_coin:0.3
ink_blob | Ink Blob | small_diamond:0.3
rage_squid | Rage Squid | platinum_coin:0.3
guardian_of_tales | Guardian of Tales | small_diamond:0.3
biting_book | Biting Book | book_page:0.3, glowing_rune:0.3, silken_bookmark:0.3, big_bone:0.15, meat:0.05, ruby_necklace:0.05
cursed_book | Cursed Book | book_page:0.3
knowledge_elemental | Knowledge Elemental | silken_bookmark:0.3, book_page:0.3, glowing_rune:0.3, small_amethyst:0.3, quill:0.15, energy_ring:0.15, flash_arrow:0.15, guardian_shield:0.15, mana_potion:0.15, throwing_star:0.15, crystal_sword:0.15, ultimate_health_potion:0.15, wand_of_cosmic_energy:0.05, ultimate_mana_potion:0.05, wand_of_defiance:0.05, obsidian_lance:0.05, silver_amulet:0.05, crystal_ring:0.05, lightning_pendant:0.05, might_ring:0.015, spellweavers_robe:0.005
energetic_book | Energetic Book | platinum_coin:0.3
brain_squid | Brain Squid | violet_crystal_shard:0.3
lavafungus | Lavafungus | platinum_coin:0.3
lavaworm | Lavaworm | platinum_coin:0.3
streaked_devourer | Streaked Devourer | platinum_coin:0.3
