rat | Cheese:common
goblin | Fish:uncommon, Short Sword:uncommon, Small Axe:uncommon, Small Stone:uncommon, Bone Club:semi-rare, Leather Armor:semi-rare, Bone:semi-rare, Dagger:semi-rare, Leather Helmet:semi-rare, Goblin Ear:rare, Mouldy Cheese:rare
goblin_scavenger | Small Stone:common, Bone:uncommon, Dagger:uncommon, Fish:uncommon, Leather Armor:uncommon, Leather Helmet:uncommon, Mouldy Cheese:uncommon, Short Sword:uncommon, Small Axe:uncommon, Bone Club:semi-rare
goblin_assassin | Small Stone:uncommon, Bone:uncommon, Dagger:uncommon, Fish:uncommon, Leather Armor:uncommon, Leather Helmet:uncommon, Mouldy Cheese:uncommon, Short Sword:uncommon, Small Axe:uncommon, Bone Club:semi-rare
goblin_leader | Leather Helmet:uncommon, Dagger:uncommon, Fish:uncommon, Bone:uncommon, Mouldy Cheese:uncommon, Small Axe:uncommon, Short Sword:uncommon, Leather Armor:uncommon, Bone Club:semi-rare
minotaur | Brass Helmet:uncommon, Chain Armor:uncommon, Mace:uncommon, Plate Shield:uncommon, Sword:semi-rare, Axe:semi-rare, Meat:semi-rare, Minotaur Horn:semi-rare, Minotaur Leather:rare, Bronze Amulet:very rare, Shovel:very rare
minotaur_archer | Bolt:common, Piercing Bolt:uncommon, Meat:semi-rare, Minotaur Horn:semi-rare, Minotaur Leather:semi-rare, Brass Armor:rare, Crossbow:rare, Scale Armor:rare
minotaur_mage | Carrot:uncommon, Purple Robe:uncommon, Leather Legs:semi-rare, Leather Helmet:semi-rare, Minotaur Horn:semi-rare, Minotaur Leather:semi-rare, Torch:semi-rare, Taurus Mace:rare, Wand of Cosmic Energy:rare, Mana Potion:rare
minotaur_guard | Minotaur Horn:uncommon, Battle Shield:semi-rare, Brass Armor:semi-rare, Chain Armor:semi-rare, Fishing Rod:rare, Minotaur Leather:rare, Double Axe:very rare, Health Potion:very rare, Minotaur Trophy:very rare
cyclops | Meat:common, Short Sword:uncommon, Cyclops Toe:semi-rare, Plate Shield:semi-rare, Battle Shield:semi-rare, Heavy Old Tome:semi-rare, Halberd:rare, Dark Helmet:very rare, Health Potion:very rare, Wolf Tooth Chain:very rare, Club Ring:very rare, Cyclops Trophy:very rare
sibang | Banana:common, Orange:common, Small Stone:common, Banana Sash:semi-rare, Ape Fur:rare, Coconut:rare, Melon:rare
merlkin | Banana:common, Magic Light Wand:semi-rare, Ape Fur:rare, Banana Sash:rare, Mana Potion:rare, Orange:rare, Wand of Decay:rare, Banana Staff:very rare, Small Amethyst:very rare
kongra | Banana:common, Ape Fur:rare, Health Potion:rare, Plate Armor:rare, Protection Amulet:rare, Club Ring:very rare, Power Ring:very rare
swarmer | Compound Eye:uncommon, Small Emerald:rare, Epee:very rare
insectoid_worker | Compound Eye:common, Health Potion:semi-rare, Small Emerald:semi-rare, Epee:rare
crawler | Compound Eye:uncommon, Great Health Potion:uncommon, Great Mana Potion:uncommon, Small Topaz:uncommon, War Hammer:semi-rare, Springsprout Rod:rare, Yellow Gem:rare
drillworm | Coal:uncommon, Terra Amulet:semi-rare, Dwarven Ring:semi-rare, Pick:semi-rare, Worm:semi-rare, Iron Ore:semi-rare, Spiked Squelcher:rare
devourer | Small Diamond:uncommon, Small Sapphire:uncommon, Small Topaz:uncommon, Small Ruby:uncommon, Small Amethyst:uncommon, Small Emerald:uncommon, Glooth Blade:semi-rare, Glooth Club:semi-rare, Glooth Axe:semi-rare, Talon:semi-rare, Glooth Spear:semi-rare, Springsprout Rod:semi-rare, Glooth Amulet:rare, Yellow Gem:rare, Terra Rod:rare, Green Gem:very rare
glooth_anemone | Small Topaz:uncommon, Small Emerald:uncommon, Small Ruby:uncommon, Strong Mana Potion:uncommon, Strong Health Potion:uncommon, Green Mushroom:semi-rare, Ultimate Health Potion:semi-rare, Glooth Axe:rare, Glooth Amulet:rare, Glooth Club:rare, Glooth Spear:rare, Glooth Blade:rare
behemoth | Meat:common, Double Axe:uncommon, Assassin Star:uncommon, Small Amethyst:uncommon, Two Handed Sword:uncommon, Great Health Potion:semi-rare, Dark Armor:semi-rare, Plate Armor:semi-rare, Crystal Necklace:semi-rare, Giant Sword:rare, Strange Symbol:rare, Big Bone:rare, Pick:rare, Behemoth Claw:rare, Steel Boots:very rare, Behemoth Trophy:very rare, Crowbar:very rare, Titan Axe:very rare, War Axe:very rare
orc | Axe:uncommon, Meat:uncommon, Sabre:uncommon, Studded Armor:uncommon, Studded Shield:semi-rare, Studded Helmet:semi-rare, Heavy Old Tome:semi-rare, Orc Leather:rare, Orc Tooth:very rare
orc_spearman | Meat:common, Spear:common, Studded Helmet:common, Studded Legs:common, Machete:semi-rare, Orc Leather:semi-rare, Heavy Old Tome:rare, Orc Tooth:very rare
orc_warrior | Chain Armor:common, Meat:common, Orc Leather:semi-rare, Copper Shield:rare, Heavy Old Tome:rare, Orc Tooth:rare, Skull Belt:rare, Poison Dagger:very rare, Light Bandana:very rare
amazon | Skull:common, Dagger:common, Brown Bread:common, Sabre:uncommon, Girlish Hair Decoration:uncommon, Protective Charm:semi-rare, Torch:rare, Crystal Necklace:very rare, Small Ruby:very rare
valkyrie | Meat:common, Spear:common, Chain Armor:uncommon, Red Apple:uncommon, Girlish Hair Decoration:uncommon, Protection Amulet:semi-rare, Hunting Spear:semi-rare, Protective Charm:semi-rare, Health Potion:rare, Plate Armor:rare, Skull:rare, Double Axe:very rare, Small Diamond:very rare
spider | Spider Fangs:rare
tarantula | Spider Fangs:semi-rare, Brass Legs:semi-rare, Plate Shield:semi-rare, Steel Helmet:rare, Monk Robe:very rare, Time Ring:very rare
giant_spider | Poison Arrow:uncommon, Plate Armor:uncommon, Plate Legs:uncommon, Two Handed Sword:semi-rare, Spider Silk:semi-rare, Steel Helmet:semi-rare, Strong Health Potion:semi-rare, Knight Armor:rare, Knight Legs:rare, Time Ring:rare, Lightning Headband:very rare, Platinum Amulet:very rare
corym_charlatan | Cheese:uncommon, Bola:uncommon, Earflap:uncommon, Cheese Cutter:uncommon, Ratana:rare, Life Preserver:rare, Leather Harness:rare, Spike Shield:rare
corym_skirmisher | Cheese:uncommon, Cheese Cutter:uncommon, Earflap:uncommon, Bola:uncommon, Life Preserver:semi-rare, Ratana:semi-rare, Spike Shield:rare, Leather Harness:rare
corym_vanguard | Cheese:uncommon, Bola:uncommon, Cheese Cutter:uncommon, Earflap:uncommon, Spike Shield:semi-rare, Ratana:semi-rare, Life Preserver:semi-rare, Leather Harness:semi-rare, Spiky Club:semi-rare
stonerefiner | Coal:common, Rat Cheese:uncommon
orc_shaman | Chain Armor:uncommon, Corncob:uncommon, Orc Leather:semi-rare, Orc Tooth:semi-rare, Spear:semi-rare, Heavy Old Tome:semi-rare, Wand of Decay:rare
orc_rider | Meat:uncommon, Orc Leather:uncommon, Orcish Axe:uncommon, Wolf Tooth Chain:uncommon, Orc Tooth:semi-rare, Battle Shield:rare, Obsidian Lance:rare, Scale Armor:rare, Torch:rare
orc_berserker | Battle Axe:uncommon, Halberd:uncommon, Ham:uncommon, Hunting Spear:semi-rare, Orc Leather:semi-rare, Orc Tooth:semi-rare, Chain Armor:rare, Lamp:rare
orc_warlord | Fish:uncommon, Orc Leather:uncommon, Orc Tooth:uncommon, Plate Armor:uncommon, Throwing Star:uncommon, Orcish Axe:semi-rare, Hunting Spear:semi-rare, Plate Legs:semi-rare, Protection Amulet:semi-rare, Scimitar:semi-rare, Skull Belt:semi-rare, Dark Helmet:semi-rare, Two Handed Sword:semi-rare, Brass Armor:rare, Health Potion:rare, Crusader Helmet:very rare, Dragon Hammer:very rare, Magma Boots:very rare, Stealth Ring:very rare, Orc Trophy:very rare
glooth_bandit | Ultimate Health Potion:uncommon, Great Mana Potion:uncommon, Great Spirit Potion:uncommon, Great Health Potion:uncommon, Small Emerald:uncommon, Small Topaz:uncommon, Glooth Amulet:semi-rare, Glooth Blade:semi-rare, Glooth Club:semi-rare, Terra Hood:semi-rare, Terra Mantle:rare, Terra Legs:rare, Terra Boots:rare, Glooth Cape:rare, Skull Staff:rare, Beastslayer Axe:rare, Glooth Axe:rare, War Axe:rare, Glooth Spear:rare, Green Gem:very rare
glooth_brigand | Great Mana Potion:uncommon, Ultimate Health Potion:uncommon, Great Spirit Potion:uncommon, Glooth Blade:semi-rare, Terra Boots:semi-rare, Green Gem:rare, Terra Hood:semi-rare, Terra Mantle:rare, Terra Amulet:rare, Mercenary Sword:rare, Terra Legs:rare, Glooth Amulet:rare, Glooth Axe:rare, Glooth Club:rare, Glooth Spear:rare, Butcher's Axe:very rare
vicious_squire | Bolt:uncommon, Crossbow:uncommon, Meat:uncommon, Great Health Potion:uncommon, Small Amethyst:semi-rare, Small Diamond:semi-rare, Small Emerald:semi-rare, Halberd:semi-rare, War Hammer:rare, Scarf:rare, Might Ring:very rare, Guardian Shield:very rare, Knight Legs:very rare, Warrior Helmet:very rare, Piggy Bank:very rare
renegade_knight | Meat:uncommon, Great Health Potion:uncommon, Scroll of Heroic Deeds:uncommon, Two Handed Sword:semi-rare, Small Ruby:semi-rare, Red Piece of Cloth:semi-rare, War Hammer:rare, Crown Legs:rare, Crown Armor:rare, Crown Helmet:rare, Fire Sword:rare, Piggy Bank:very rare, Crown Shield:very rare
hero | Scroll:common, Arrow:common, Red Rose:uncommon, Grapes:uncommon, Bow:uncommon, Sniper Arrow:uncommon, Meat:uncommon, Green Tunic:uncommon, Scroll of Heroic Deeds:semi-rare, Wedding Ring:semi-rare, Rope:semi-rare, Red Piece of Cloth:semi-rare, Lyre:semi-rare, Two Handed Sword:semi-rare, Scarf:semi-rare, War Hammer:rare, Great Health Potion:rare, Crown Legs:rare, Fire Sword:rare, Crown Armor:rare, Might Ring:rare, Crown Helmet:rare, Crown Shield:very rare, Piggy Bank:very rare
cult_believer | Meat:uncommon, Great Health Potion:uncommon, Small Diamond:semi-rare, Small Emerald:semi-rare, Small Amethyst:semi-rare, Cultish Robe:semi-rare, Scarf:rare, Piggy Bank:very rare, Might Ring:very rare
cult_enforcer | Meat:uncommon, Great Health Potion:uncommon, Cultish Robe:semi-rare, Small Diamond:semi-rare, Small Amethyst:semi-rare, Small Emerald:semi-rare, Halberd:semi-rare, Scarf:rare, War Hammer:rare, Might Ring:very rare, Guardian Shield:very rare, Knight Legs:very rare, Warrior Helmet:very rare, Piggy Bank:very rare
vile_grandmaster | Meat:uncommon, Great Health Potion:uncommon, Scroll of Heroic Deeds:uncommon, Wedding Ring:semi-rare, Small Sapphire:semi-rare, Small Ruby:semi-rare, War Hammer:semi-rare, Red Piece of Cloth:semi-rare, Crown Armor:rare, Crown Legs:rare, Fire Sword:rare, Crown Helmet:rare, Platinum Amulet:very rare, Crown Shield:very rare, Piggy Bank:very rare
dragon | Dragon Ham:common, Steel Shield:uncommon, Crossbow:uncommon, Dragon's Tail:uncommon, Burst Arrow:uncommon, Longsword:semi-rare, Steel Helmet:semi-rare, Broadsword:semi-rare, Plate Legs:semi-rare, Green Dragon Leather:rare, Wand of Inferno:rare, Strong Health Potion:rare, Green Dragon Scale:rare, Double Axe:rare, Dragon Hammer:rare, Serpent Sword:rare, Small Diamond:very rare, Dragon Shield:very rare, Life Crystal:very rare, Dragonbone Staff:very rare, Dragon Trophy:very rare
dragon_lord | Dragon Ham:common, Green Mushroom:uncommon, Royal Spear:uncommon, Power Bolt:uncommon, Energy Ring:semi-rare, Small Sapphire:semi-rare, Golden Mug:semi-rare, Red Dragon Scale:semi-rare, Red Dragon Leather:rare, Strong Health Potion:rare, Life Crystal:rare, Strange Helmet:very rare, Fire Sword:very rare, Royal Helmet:very rare, Tower Shield:very rare, Dragon Scale Mail:very rare, Dragon Lord Trophy:very rare, Dragon Slayer:very rare
bog_raider | Great Health Potion:semi-rare, Great Spirit Potion:semi-rare, Plate Legs:semi-rare, Belted Cape:rare, Springsprout Rod:rare, Ultimate Health Potion:rare, Paladin Armor:very rare
hydra | Ham:common, Hydra Head:uncommon, Small Sapphire:semi-rare, Cucumber:semi-rare, Ring of Healing:semi-rare, Knight Armor:rare, Hydra Egg:rare, Warrior Helmet:rare, Life Crystal:rare, Strong Mana Potion:very rare, Medusa Shield:very rare, Royal Helmet:very rare, Boots of Haste:very rare, Stone Skin Amulet:very rare
wyrm | Dragon Ham:common, Strong Health Potion:uncommon, Strong Mana Potion:uncommon, Wyrm Scale:uncommon, Burst Arrow:uncommon, Crossbow:uncommon, Focus Cape:semi-rare, Wand of Draconia:rare, Small Diamond:rare, Lightning Pendant:rare, Wand of Starstorm:very rare, Dragonbone Staff:very rare, Shockwave Amulet:very rare, Composite Hornbow:very rare
elder_wyrm | Dragon Ham:common, Strong Health Potion:uncommon, Strong Mana Potion:uncommon, Crossbow:uncommon, Wyrm Scale:uncommon, Small Diamond:semi-rare, Soul Orb:semi-rare, Wand of Draconia:semi-rare, Lightning Pendant:rare, Lightning Legs:rare, Power Bolt:rare, Wand of Starstorm:rare, Lightning Boots:very rare, Lightning Robe:very rare, Dragonbone Staff:very rare, Shadow Sceptre:very rare, Composite Hornbow:very rare, Legs of Wisdom:very rare, Shockwave Amulet:very rare
banshee | Candlestick:uncommon, Silver Amulet:uncommon, Simple Dress:uncommon, Black Pearl:semi-rare, Poison Dagger:rare, Silver Brooch:rare, White Pearl:rare, Lyre:rare, Stone Skin Amulet:rare, Blue Robe:rare, Ring of Healing:rare, Strong Mana Potion:rare, Spellbook:rare, Wedding Ring:very rare, Terra Mantle:very rare, Red Robe:very rare, Life Crystal:very rare, Crystal Ring:very rare
spectre | Blank Rune:common, Wand of Cosmic Energy:uncommon, Lyre:uncommon, Demonic Essence:uncommon, Soul Orb:uncommon, White Piece of Cloth:semi-rare, Shiny Stone:rare, Great Mana Potion:rare, Silver Brooch:rare, Relic Sword:rare, Death Ring:very rare, Stealth Ring:very rare, Demonbone Amulet:very rare, Shadow Sceptre:very rare, Stone Skin Amulet:very rare
grim_reaper | Flask of Demonic Blood:common, Demonic Essence:uncommon, Great Mana Potion:uncommon, Scythe:uncommon, Ultimate Health Potion:uncommon, Dark Shield:semi-rare, Magic Light Wand:semi-rare, Slightly Rusted Armor:semi-rare, Orichalcum Pearl:semi-rare, Nightmare Blade:rare, Underworld Rod:rare, Death Ring:very rare, Glacier Kilt:very rare, Skullcracker Armor:very rare, Stone Skin Amulet:very rare
werehyaena | Great Health Potion:common, Small Enchanted Amethyst:uncommon, Life Preserver:uncommon, Moonlight Crystals:uncommon, Red Gem:uncommon, Combat Knife:uncommon, Yellow Gem:uncommon, Halberd:uncommon, Red Crystal Fragment:uncommon, Axe:uncommon, Meat:uncommon, Knife:uncommon, Green Crystal Fragment:semi-rare, Ratana:semi-rare, Werehyaena Trophy:very rare
werehyaena_shaman | Great Mana Potion:uncommon, Small Amethyst:uncommon, Hailstorm Rod:uncommon, Wand of Starstorm:uncommon, Green Crystal Splinter:uncommon, Moonlight Crystals:uncommon, Small Enchanted Emerald:semi-rare, Protection Amulet:semi-rare, Sword Ring:semi-rare, Doublet:semi-rare, Black Shield:semi-rare, Wand of Voodoo:semi-rare, Brown Crystal Splinter:semi-rare, Werehyaena Trophy:very rare
werelion | Great Spirit Potion:common, Dark Armor:uncommon, Small Enchanted Ruby:uncommon, Meat:uncommon, Crystal Sword:uncommon, Lion's Mane:uncommon, Moonlight Crystals:uncommon, Silver Brooch:semi-rare, Small Diamond:semi-rare, War Hammer:semi-rare, Doublet:semi-rare, Dark Shield:semi-rare, Titan Axe:semi-rare, Spiked Squelcher:semi-rare, Glorious Axe:semi-rare, Spirit Cloak:semi-rare, Onyx Chip:semi-rare, Coral Brooch:semi-rare, Rainbow Quartz:semi-rare, Ivory Carving:semi-rare, Noble Axe:rare, White Silk Flower:very rare, Lion Figurine:very rare
white_lion | Terra Boots:uncommon, Axe:uncommon, Leather Boots:uncommon, Great Spirit Potion:uncommon, Green Crystal Shard:uncommon, Lion's Mane:uncommon, Twin Hooks:uncommon, War Hammer:semi-rare, Green Crystal Fragment:semi-rare, Cyan Crystal Fragment:semi-rare, Yellow Gem:semi-rare, Combat Knife:semi-rare
werelioness | Ham:common, Small Enchanted Sapphire:uncommon, Black Pearl:uncommon, Crystal Sword:uncommon, Moonlight Crystals:uncommon, Lion's Mane:uncommon, Rapier:uncommon, Soul Orb:uncommon, Meat:uncommon, Ankh:uncommon, Leather Helmet:uncommon, Serpent Sword:uncommon, Ivory Carving:semi-rare, White Pearl:semi-rare, Steel Helmet:semi-rare, Lightning Headband:semi-rare, Magma Legs:rare, Crown Helmet:rare, Lion Figurine:very rare, White Silk Flower:very rare
cobra_assassin | Opal:common, Small Emerald:common, Knife:uncommon, Machete:uncommon, Protection Amulet:uncommon, Heavy Machete:uncommon, Bone Sword:uncommon, Scimitar:uncommon, Green Crystal Shard:uncommon, Gold Ingot:semi-rare, Carlin Sword:semi-rare, Green Crystal Fragment:semi-rare, Soul Orb:semi-rare, Red Crystal Fragment:rare
cobra_scout | Opal:uncommon, Earth Arrow:uncommon, Stone Skin Amulet:uncommon, Gold Ingot:uncommon, Red Gem:semi-rare, Yellow Gem:semi-rare, Green Crystal Shard:semi-rare, Small Emerald:semi-rare, Green Gem:semi-rare, Violet Gem:semi-rare, Sacred Tree Amulet:rare, Ring of Red Plasma:rare
cobra_vizier | Terra Rod:common, Terra Boots:uncommon, Terra Hood:uncommon, Snakebite Rod:uncommon, Cyan Crystal Fragment:uncommon, Giant Shimmering Pearl:uncommon, Green Crystal Fragment:uncommon, Red Gem:uncommon, Violet Crystal Shard:semi-rare, Serpent Sword:semi-rare, Emerald Bangle:semi-rare, Red Crystal Fragment:semi-rare, Onyx Chip:semi-rare, Green Gem:semi-rare
hellspawn | Great Health Potion:common, Battle Shield:uncommon, Morning Star:uncommon, Assassin Star:uncommon, Ultimate Health Potion:uncommon, Demonic Essence:uncommon, Red Mushroom:uncommon, Small Topaz:semi-rare, Rusted Armor:semi-rare, Knight Legs:semi-rare, Warrior Helmet:semi-rare, Spiked Squelcher:rare, Berserk Potion:rare, Slightly Rusted Armor:very rare, Onyx Flail:very rare
dawnfire_asura | Flask of Demonic Blood:common, Soul Orb:uncommon, Golden Lotus Brooch:uncommon, Peacock Feather Fan:uncommon, Demonic Essence:uncommon, Great Mana Potion:uncommon, Small Ruby:uncommon, Small Diamond:semi-rare, Small Emerald:semi-rare, Small Topaz:semi-rare, Small Amethyst:semi-rare, Mystic Turban:semi-rare, Red Piece of Cloth:semi-rare, Wand of Inferno:semi-rare, Red Gem:semi-rare, Focus Cape:semi-rare, Magma Coat:rare, Ruby Necklace:rare, Death Ring:rare, Oriental Shoes:very rare, Blue Gem:very rare
midnight_asura | Flask of Demonic Blood:uncommon, Soul Orb:uncommon, Golden Lotus Brooch:uncommon, Peacock Feather Fan:uncommon, Demonic Essence:uncommon, Great Health Potion:uncommon, Assassin Star:uncommon, White Pearl:uncommon, Small Diamond:uncommon, Small Sapphire:uncommon, Silver Brooch:semi-rare, Black Pearl:semi-rare, Small Topaz:semi-rare, Small Ruby:semi-rare, Small Emerald:semi-rare, Necrotic Rod:semi-rare, Tribal Mask:semi-rare, Silver Amulet:semi-rare, Yellow Gem:rare, Underworld Rod:rare, Blue Robe:rare, Oriental Shoes:very rare, Assassin Dagger:very rare, Crystal Ring:very rare, Blue Gem:very rare, Gold Ingot:very rare
draken_spellweaver | Meat:common, Small Ruby:uncommon, Great Mana Potion:semi-rare, Wand of Inferno:semi-rare, Focus Cape:semi-rare, Zaoan Shoes:semi-rare, Draken Sulphur:semi-rare, Green Gem:rare, Zaoan Legs:rare, Spellweaver's Robe:rare, Zaoan Robe:rare, Ring of the Sky:very rare, Draken Trophy:very rare
draken_warmaster | Meat:common, Bone Shoulderplate:uncommon, Zaoan Halberd:uncommon, Great Health Potion:semi-rare, Ultimate Health Potion:semi-rare, Zaoan Shoes:semi-rare, Small Ruby:semi-rare, Tower Shield:semi-rare, Drakinata:rare, Zaoan Armor:rare, Zaoan Legs:rare, Ring of the Sky:very rare
falcon_knight | Ham:common, Soul Orb:common, Great Mana Potion:common, Great Health Potion:common, Assassin Star:common, Flask of Demonic Blood:common, Small Amethyst:common, Onyx Arrow:uncommon, Small Emerald:uncommon, Small Diamond:uncommon, Small Ruby:uncommon, Small Topaz:uncommon, Giant Shimmering Pearl:semi-rare, Titan Axe:semi-rare, Spiked Squelcher:semi-rare, Knight Armor:semi-rare, Falcon Crest:semi-rare, Green Gem:semi-rare, War Axe:semi-rare, Violet Gem:semi-rare, Golden Armor:semi-rare, Mastermind Shield:rare, Demonbone Amulet:very rare, Heavy Mace:very rare, Stone Skin Amulet:very rare
falcon_paladin | Small Emerald:common, Small Amethyst:common, Small Diamond:common, Great Spirit Potion:common, Assassin Star:common, Small Ruby:uncommon, Small Topaz:uncommon, Onyx Arrow:uncommon, Violet Gem:uncommon, Red Gem:uncommon, Green Gem:uncommon, Giant Shimmering Pearl:semi-rare, Falcon Crest:semi-rare, Golden Armor:very rare, Mastermind Shield:very rare, Stone Skin Amulet:very rare
dark_torturer | Ham:common, Flask of Demonic Blood:common, Soul Orb:uncommon, Great Mana Potion:uncommon, Great Health Potion:uncommon, Demonic Essence:uncommon, Steel Boots:semi-rare, Saw:semi-rare, Gold Ingot:semi-rare, Orichalcum Pearl:semi-rare, Assassin Star:semi-rare, Death Ring:semi-rare, Jewelled Backpack:rare, Butcher's Axe:rare, Vile Axe:very rare, Golden Legs:very rare
grimeleech | Great Mana Potion:common, Small Diamond:uncommon, Small Amethyst:uncommon, Small Topaz:uncommon, Small Ruby:uncommon, Green Mushroom:uncommon, Fire Mushroom:uncommon, Great Spirit Potion:uncommon, Great Health Potion:uncommon, Flask of Demonic Blood:uncommon, Demonic Essence:uncommon, Underworld Rod:uncommon, Wand of Voodoo:semi-rare, Red Gem:semi-rare, Yellow Gem:semi-rare, Devil Helmet:rare, Magma Legs:rare, Demon Shield:rare, Nightmare Blade:rare, Blue Gem:rare, Steel Boots:very rare, Vile Axe:very rare, Magic Plate Armor:very rare
vexclaw | Great Spirit Potion:uncommon, Great Mana Potion:uncommon, Vexclaw Talon:uncommon, Demonic Essence:uncommon, Fire Mushroom:uncommon, Ultimate Health Potion:uncommon, Small Topaz:uncommon, Small Emerald:uncommon, Small Amethyst:uncommon, Small Ruby:uncommon, Yellow Gem:semi-rare, Red Gem:semi-rare, Ice Rapier:semi-rare, Fire Axe:semi-rare, Energy Ring:semi-rare, Giant Sword:semi-rare, Might Ring:rare, Ring of Healing:rare, Devil Helmet:rare, Platinum Amulet:very rare, Golden Legs:very rare, Demon Shield:very rare, Mastermind Shield:very rare, Magic Plate Armor:very rare, Demonrage Sword:very rare
defiler | Demonic Essence:uncommon, Small Emerald:uncommon, Soul Orb:uncommon, Small Diamond:semi-rare, Small Ruby:semi-rare, Talon:semi-rare, Death Ring:semi-rare, Yellow Gem:semi-rare, Red Gem:semi-rare, Blue Gem:rare, Green Gem:rare
plaguesmith | Dirty Cape:common, Mouldy Cheese:common, Morning Star:uncommon, Piece of Iron:uncommon, Two Handed Sword:uncommon, Battle Hammer:uncommon, Steel Shield:uncommon, Soul Orb:uncommon, Great Health Potion:uncommon, Demonic Essence:uncommon, Onyx Arrow:uncommon, Slightly Rusted Armor:uncommon, Knight Legs:uncommon, Club Ring:semi-rare, Small Amethyst:semi-rare, Axe Ring:semi-rare, Silver Brooch:semi-rare, War Hammer:semi-rare, Steel Boots:rare, Hammer of Wrath:rare, Emerald Bangle:very rare, War Horn:very rare
retching_horror | Brown Mushroom:uncommon, Great Health Potion:uncommon, Great Mana Potion:uncommon, Beastslayer Axe:semi-rare, Underworld Rod:semi-rare, Mercenary Sword:semi-rare, Crown Shield:semi-rare, Spiked Squelcher:semi-rare, Wand of Starstorm:semi-rare, Fire Sword:semi-rare, Tower Shield:rare, Onyx Flail:rare, Butcher's Axe:very rare, Steel Boots:very rare, Cluster of Solace:very rare
choking_fear | Brown Crystal Splinter:common, Great Spirit Potion:uncommon, Great Mana Potion:uncommon, Ultimate Health Potion:uncommon, Hemp Rope:uncommon, Blue Crystal Splinter:uncommon, Brown Piece of Cloth:semi-rare, Life Ring:semi-rare, Beastslayer Axe:semi-rare, Yellow Piece of Cloth:semi-rare, Energy Ring:semi-rare, Ring of Healing:semi-rare, Guardian Shield:semi-rare, Green Crystal Shard:semi-rare, Shadow Sceptre:rare, Red Piece of Cloth:rare, Traditional Sai:rare, Terra Boots:very rare, Underworld Rod:very rare, Springsprout Rod:very rare, Cluster of Solace:very rare, Terra Mantle:very rare
crazed_winter_rearguard | Ice Rapier:uncommon, Ultimate Health Potion:uncommon, Great Spirit Potion:uncommon, Ice Flower:uncommon, Life Crystal:uncommon, Glacier Mask:uncommon, Moonlight Rod:uncommon, Small Enchanted Sapphire:uncommon, Northwind Rod:semi-rare, Glacier Amulet:semi-rare, Hailstorm Rod:semi-rare, Glacier Robe:semi-rare, Cyan Crystal Fragment:semi-rare, Elven Amulet:semi-rare, Blue Gem:rare
crazed_summer_rearguard | Elvish Talisman:uncommon, Small Enchanted Ruby:uncommon, Violet Crystal Shard:semi-rare, Red Crystal Fragment:semi-rare, Leaf Star:semi-rare, Ring of Blue Plasma:semi-rare, Wood Cape:semi-rare, Yellow Gem:semi-rare, Collar of Blue Plasma:rare, Small Enchanted Sapphire:rare, Small Diamond:rare, Crystal Crossbow:very rare
crazed_summer_vanguard | Belted Cape:uncommon, Two Handed Sword:uncommon, Scimitar:uncommon, Knife:uncommon, Dragon Necklace:uncommon, Magma Amulet:uncommon, Wand of Dragonbreath:semi-rare, Wand of Draconia:semi-rare, Magma Boots:semi-rare, Bullseye Potion:very rare
